cod_imovel;municipio;cod_estado;num_area;mod_fiscal;ind_status;geometry
MG-3101607-13A05FC6B49A42648FCCF58A8FB875DB;Alfenas;MG;6.6659;0.2564;AT;MULTIPOLYGON (((-46.0164928436279 -21.2804570424623, -46.0120940208435 -21.2811568511796, -46.0119223594666 -21.2804370478786, -46.011815071106 -21.2798971930914, -46.0116863250732 -21.2792773573741, -46.0120296478271 -21.2791173993456, -46.0127806663513 -21.2799371824028, -46.0161709785461 -21.2791973783816, -46.0164928436279 -21.2804570424623)))
MG-3101607-A7969E941DD247D1AE1CCBEAB7309D98;Alfenas;MG;8.8487;0.3403;AT;MULTIPOLYGON (((-46.0274362564087 -21.3001303954505, -46.0319852828979 -21.2983710970917, -46.0322856903076 -21.2999304762431, -46.0276079177856 -21.3017297393183, -46.0274362564087 -21.3001303954505)))
MG-3101607-C1E595AC3E144336BA3303871A4BC67D;Alfenas;MG;3.0024;0.1155;AT;MULTIPOLYGON (((-46.0084676742554 -21.2781976373071, -46.008403301239 -21.2778177339175, -46.009304523468 -21.2776377793379, -46.0112571716309 -21.2773578495544, -46.0113644599915 -21.2783775912019, -46.008574962616 -21.2785775397157, -46.0084676742554 -21.2781976373071)))
MG-3101607-5D773931A85B499D8007C916C14FEB8A;Alfenas;MG;4.4081;0.1695;AT;MULTIPOLYGON (((-45.9719896316528 -21.4243274896228, -45.9720754623413 -21.4252063854067, -45.9721183776855 -21.4258056294989, -45.9722685813904 -21.426584643142, -45.9724402427673 -21.4272637798497, -45.9718179702759 -21.4273037289694, -45.9713673591614 -21.4274834998729, -45.9708738327026 -21.4274834998729, -45.9708738327026 -21.4270640340871, -45.9708523750305 -21.4264248458105, -45.9708523750305 -21.425525982562, -45.9708952903748 -21.4250266116995, -45.9710025787353 -21.4244473393594, -45.971667766571 -21.4244273644101, -45.9719896316528 -21.4243274896228)))
MG-3101607-931254EE4EB044E8A4F39A1E26821AFF;Alfenas;MG;134.295;5.1652;AT;MULTIPOLYGON (((-45.9132089025786 -21.3177347533848, -45.9112670394444 -21.317921566199, -45.91016719499 -21.3181069247151, -45.9089197560906 -21.3188342755331, -45.9081218712703 -21.3195744670519, -45.9077225502368 -21.3200890322166, -45.9073363502599 -21.320642761672, -45.9069674799547 -21.320871299558, -45.9061359045617 -21.3210977634025, -45.9051158472109 -21.3212204016802, -45.9031816098951 -21.3219835538984, -45.9012241524409 -21.3225890228775, -45.8994933293681 -21.3232549788425, -45.8983819534613 -21.3211789477847, -45.8968422681092 -21.3181909224999, -45.8959780311524 -21.3166953351666, -45.8980566039293 -21.3156490607604, -45.9000651881168 -21.3154661648292, -45.9008318978215 -21.3149918957886, -45.9017703988355 -21.3148039422636, -45.9030020051241 -21.3143597507288, -45.9044092495233 -21.3143812397426, -45.9052482133295 -21.3146570686721, -45.9062485803472 -21.3143814005979, -45.9067550747001 -21.3136897632023, -45.9079347290382 -21.3128437799413, -45.9086206568129 -21.3126165582898, -45.909386270529 -21.3127304621017, -45.911077818723 -21.3123182449684, -45.9126026406885 -21.3121096893803, -45.9130367247447 -21.3120864081553, -45.9131185811306 -21.3119229221005, -45.9133619426375 -21.3118760227718, -45.9137006903529 -21.3119463222764, -45.9141466624723 -21.3120164324601, -45.9145976397956 -21.3120397480345, -45.9148226433651 -21.3121328726171, -45.9151114792171 -21.3122256689678, -45.9150753662637 -21.312479245903, -45.914913832195 -21.3128664305608, -45.9148868155129 -21.313359171585, -45.9149798310296 -21.3150134394354, -45.9150450701557 -21.3161918525212, -45.9151943220036 -21.317259626995, -45.9152492766856 -21.3175240856762, -45.9151344120998 -21.3176365443082, -45.9132089025786 -21.3177347533848)))
MG-3101607-D8F5562642AC415EBC7C492537E231DB;Alfenas;MG;7.9311;0.305;AT;MULTIPOLYGON (((-46.0315614938736 -21.2095141773307, -46.0312288999557 -21.2090240733809, -46.0309392213821 -21.2085139634605, -46.0319209098816 -21.2078988285655, -46.0338413715363 -21.206703559125, -46.0355472564697 -21.2056983250344, -46.0367596149445 -21.2049331422593, -46.0370975732803 -21.2047230913922, -46.037210226059 -21.2048631253368, -46.0373228788376 -21.2050431687848, -46.0373657941818 -21.2051832024258, -46.037392616272 -21.2052632215897, -46.0373497009277 -21.2053132335451, -46.037210226059 -21.2054632693097, -46.0371029376984 -21.2055532906953, -46.036673784256 -21.2058783674641, -46.0344851016998 -21.2074587304826, -46.0328435897827 -21.2086389905648, -46.0317277908325 -21.2094041541366, -46.0315614938736 -21.2095141773307)))
MG-3101607-315C78D9DCBA4EF4BE46CF9DAD614484;Alfenas;MG;19.1044;0.7348;AT;MULTIPOLYGON (((-46.0048842430115 -21.4999530668328, -46.0040903091431 -21.4991944099954, -46.0034680366516 -21.4985755028027, -45.9996914863586 -21.499074621712, -45.9994769096375 -21.4990546569885, -45.9996056556702 -21.4993940569152, -45.9998846054077 -21.4996735621425, -45.9999489784241 -21.5001327481357, -45.999584197998 -21.5004721455468, -45.999584197998 -21.500971257948, -45.9995198249817 -21.5013905110414, -45.999584197998 -21.501630083695, -45.9993052482605 -21.5018896202911, -45.9997129440308 -21.5021890850188, -46.0000562667847 -21.5025284776314, -46.0005712509155 -21.5026682273005, -46.0003995895386 -21.503007618795, -46.0003137588501 -21.5032072604806, -46.0005712509155 -21.5034667942621, -46.0011291503906 -21.5031473680037, -46.0020518302917 -21.5027880126243, -46.0031890869141 -21.5022090493121, -46.003897190094 -21.5015102974175, -46.003532409668 -21.5011110091134, -46.003897190094 -21.5004122519436, -46.0048842430115 -21.4999530668328)))
MG-3164704-003DB6E54F3D40A69A12502B5A09E994;São Sebastião do Paraíso;MG;163.7874;5.8496;AT;MULTIPOLYGON (((-47.0872601333334 -20.9621623030556, -47.0857675825 -20.9618190569444, -47.0855857188889 -20.9618016847222, -47.0851881472223 -20.9618293080555, -47.0847661725 -20.9619068102777, -47.0837646061111 -20.9622331647222, -47.0829957686111 -20.9625079908333, -47.0828301527778 -20.9625808197222, -47.0824931086111 -20.9628136088889, -47.0823636088889 -20.9629810947222, -47.0822771611111 -20.9631469708333, -47.0822218872222 -20.9633144527777, -47.0821550627778 -20.9635920761111, -47.0821237686111 -20.9637692897222, -47.0821080677778 -20.9639477577778, -47.0821238075 -20.9642928288889, -47.0821656544444 -20.9644749288889, -47.0822421202778 -20.9647476405556, -47.0827095563889 -20.9656815358333, -47.0831590338889 -20.9666095980555, -47.0832023711111 -20.9672321313889, -47.0832476077778 -20.9685952911111, -47.0832844566667 -20.9691727475, -47.0832993258333 -20.9692673933333, -47.0833379397222 -20.9695142861111, -47.0833483808334 -20.9695808086111, -47.0833962808333 -20.9698871938889, -47.0862245722222 -20.9699119202778, -47.0861872836111 -20.9690265069444, -47.0876926183333 -20.9703125336111, -47.0883511297222 -20.9708771305555, -47.0883486022223 -20.9708889925, -47.0892084636111 -20.9717579066667, -47.0900073580556 -20.9721071877778, -47.0902690033333 -20.9726264311111, -47.0899474772223 -20.9730076983333, -47.0898961236111 -20.9733736394445, -47.0898225116667 -20.97389528, -47.0895063322222 -20.9742464072222, -47.0891060247222 -20.9746881552778, -47.0895081663889 -20.9752150688889, -47.0899073558334 -20.9757576413889, -47.0900080927778 -20.9759072261111, -47.0901939186111 -20.9762911188889, -47.0902985286111 -20.9764771416666, -47.0904217355556 -20.9764171075, -47.0908430616666 -20.9761522, -47.0915263575 -20.9756415880556, -47.0916742011111 -20.9758870461111, -47.0917205980556 -20.9760909419444, -47.0918916569445 -20.9762150066667, -47.0920234830556 -20.9763528288889, -47.0920976561111 -20.9764590275, -47.0919936433334 -20.9767166094444, -47.0921110991666 -20.9768167672222, -47.0923092941667 -20.9769145788889, -47.0927238725 -20.9767936158333, -47.0928825577778 -20.9767057797222, -47.0930573705556 -20.9765677127778, -47.0932066169445 -20.9764994997222, -47.0932646161111 -20.9764178677778, -47.0933646411111 -20.97635044, -47.0935441327778 -20.9760720613889, -47.0937724447222 -20.9759504952778, -47.0939372897222 -20.9758493972222, -47.0946343208333 -20.9757180033333, -47.0949940225 -20.9757029230555, -47.0952891083333 -20.9757292769444, -47.0954859977778 -20.9757334475, -47.0957342213889 -20.9756815352778, -47.0959532080555 -20.9757877563889, -47.0961508911111 -20.9758901755556, -47.0963226052778 -20.9759300572222, -47.0964870838889 -20.9759682213889, -47.0966354141667 -20.975951675, -47.0968546005555 -20.9759343463889, -47.0972118813889 -20.9760076155555, -47.0971750530556 -20.9755390819444, -47.0972519680556 -20.9750836877777, -47.0971674508333 -20.9749323730556, -47.0968831777778 -20.9749434586111, -47.0969030425 -20.9746305558333, -47.0972232663889 -20.9744671236111, -47.0974053788889 -20.9742049652778, -47.0976457155555 -20.9738569258333, -47.0977994913889 -20.9733420636111, -47.0980928927778 -20.9723596552778, -47.0992771911111 -20.9720342138889, -47.0992528077778 -20.9714794605556, -47.0991891747222 -20.9712537438889, -47.0989463725 -20.9710460388889, -47.0987350419444 -20.9707715669445, -47.0984178469444 -20.9708551288889, -47.0977084541667 -20.97069137, -47.0976530905556 -20.9706515016666, -47.0975734841667 -20.9710241136111, -47.09724454 -20.9710237380555, -47.0970350169444 -20.9711404708334, -47.0969226025 -20.9710638252778, -47.0967854788889 -20.9705875847222, -47.0967797988889 -20.9702286663889, -47.0967097952778 -20.9701042658333, -47.0965353244444 -20.9698869558333, -47.0961241738889 -20.9696246922222, -47.0959303027778 -20.9693123416666, -47.09565761 -20.9691946786111, -47.0954265958333 -20.9690112069444, -47.0955569702778 -20.9687692844444, -47.0956088094444 -20.9686047313889, -47.0954361533334 -20.9682621355556, -47.0956835927778 -20.9679203338889, -47.0956140255555 -20.9676753613889, -47.0958080708334 -20.9668693825, -47.0959855977778 -20.9664373158333, -47.0960402891667 -20.9661050191667, -47.0961748772222 -20.9657310994444, -47.0962309608333 -20.9653400827778, -47.096250025 -20.9651144305555, -47.0964146172222 -20.9649685394444, -47.0962937619444 -20.9648378102778, -47.0962327705556 -20.96469063, -47.0959566241667 -20.9642763358333, -47.0959076036111 -20.9642705263889, -47.0951214311111 -20.9629551416667, -47.0949004097222 -20.9626116941667, -47.0945945466667 -20.962120365, -47.0943273561111 -20.9616787733333, -47.0936587316667 -20.9620365847222, -47.0932810391667 -20.9623109852778, -47.0930830441667 -20.9628339738889, -47.0928253611111 -20.9630959719444, -47.0927282819444 -20.9631119752778, -47.0925573902778 -20.9632958711111, -47.0924323741666 -20.9634669213889, -47.0923837177778 -20.9636461555556, -47.0923029075 -20.9638501683333, -47.0921527805556 -20.9639648108333, -47.0920162027778 -20.96426551, -47.0919757275 -20.9644799552778, -47.0918345130555 -20.9648482641666, -47.0917231602778 -20.9651238175, -47.0916482583333 -20.9653932338889, -47.0914255738889 -20.9653516238889, -47.0907434313889 -20.9651815386111, -47.0906742269444 -20.9651209755555, -47.0901729338889 -20.9646597613889, -47.0894576322222 -20.9639990516666, -47.0886105072222 -20.9632199294444, -47.08791686 -20.9625735772222, -47.0875034325 -20.9621932805556, -47.0872601333334 -20.9621623030556)))
MG-3164704-003EC57EE6DB47E1A13A66031719A4D7;São Sebastião do Paraíso;MG;20.887;0.746;AT;MULTIPOLYGON (((-47.0185057647222 -20.9689371022222, -47.0186358361111 -20.9687484986111, -47.0187680275 -20.9685807172222, -47.01897198 -20.9684301058333, -47.0193118577778 -20.9683400177778, -47.0194713711111 -20.9681375586111, -47.0197944641667 -20.9678478236111, -47.0199279786111 -20.9675788875, -47.0202636719444 -20.9673500055556, -47.0205152355556 -20.9671963288889, -47.0207481925 -20.9669863144444, -47.0208269111111 -20.9668892277778, -47.0209059466667 -20.9668809566667, -47.0214943761111 -20.9667334436111, -47.0216984302778 -20.9668893088889, -47.0242585927778 -20.9691359508333, -47.02459788 -20.9695009047222, -47.0245477811111 -20.9697648877778, -47.0245072338889 -20.9700911055556, -47.0243899783333 -20.9703327227778, -47.0241793222222 -20.9706581108333, -47.0237421127778 -20.9706893341667, -47.0177612305556 -20.9705085738889, -47.0174026491667 -20.9704551680556, -47.017139435 -20.9702892288889, -47.0170209819444 -20.9700775372222, -47.0173522022222 -20.9696399772222, -47.0173724205556 -20.9696132677778, -47.0176857852778 -20.9693504455556, -47.0179741041667 -20.9692665044444, -47.0182698766667 -20.9690878086111, -47.0185057647222 -20.9689371022222)))
MG-3164704-0056787555E04208B6B5ABC0A8B7C799;São Sebastião do Paraíso;MG;752.6818;26.8815;AT;MULTIPOLYGON (((-46.8080072108961 -20.9159611124809, -46.8107202278543 -20.9135726257197, -46.8144624710252 -20.9107628385408, -46.816000694863 -20.9125018699462, -46.8173028832879 -20.9139602696126, -46.8182896512016 -20.9150960580091, -46.818576860392 -20.9148491433702, -46.8196607955039 -20.9139172698307, -46.8207878897156 -20.914880255311, -46.8225469839896 -20.9156130034863, -46.8257582635601 -20.9184860113613, -46.8265902285812 -20.9199254541521, -46.8268735356021 -20.9208131069189, -46.8263328050918 -20.9210680978247, -46.8275883415315 -20.9226091016073, -46.8278334183715 -20.9228863385181, -46.8290446759295 -20.9234786851518, -46.8292763199931 -20.9239324051592, -46.8294385488533 -20.9245953336131, -46.8285718525617 -20.9253302012375, -46.8284619036191 -20.9254546515895, -46.8288406488113 -20.925829353409, -46.8289939384982 -20.9257954295482, -46.8295775818537 -20.9263777083629, -46.8302104894326 -20.926936993346, -46.8302672687667 -20.9270012000483, -46.8305560496422 -20.9278078789194, -46.8308259206215 -20.927852396014, -46.8310900027658 -20.9278206892344, -46.8314075126561 -20.9276305652861, -46.831714585293 -20.9274251534656, -46.8320398970005 -20.9274181546707, -46.8324572993628 -20.9274875856607, -46.8328511458707 -20.9275079938771, -46.8329670742865 -20.9273312083759, -46.833029143522 -20.9270410537501, -46.8330677688816 -20.9267111152896, -46.833039710471 -20.9262914422562, -46.8330928024594 -20.9260722162754, -46.8332549426296 -20.9259195715492, -46.8334806300155 -20.9258678728436, -46.8336936114593 -20.925850186509, -46.833890731928 -20.9256975686933, -46.8338432049424 -20.9254896515138, -46.8338911887461 -20.9253830972889, -46.8339678215875 -20.9252685234533, -46.834075743534 -20.9251941007623, -46.8341678977117 -20.9251738307395, -46.8343583346897 -20.9251036275922, -46.8344523073175 -20.9250640580845, -46.83444343768 -20.9250101701174, -46.8343775044499 -20.9249915989021, -46.8342500262097 -20.92480679736, -46.8342455083283 -20.9247751561472, -46.8342423054721 -20.9246807197613, -46.8344232082709 -20.9244928622743, -46.8342753097294 -20.9242518147599, -46.8342591831066 -20.924197764054, -46.8342709617726 -20.9241532940157, -46.8344523591929 -20.9240353581911, -46.8346552843822 -20.9240061855665, -46.8347948932578 -20.9240046850001, -46.8349104391977 -20.9238819804894, -46.8350081282934 -20.9238105464702, -46.8352335335709 -20.9243520857756, -46.8353249980218 -20.9244898524258, -46.8353919921753 -20.9246442762069, -46.8355214962483 -20.9251758289928, -46.8356771277357 -20.9254842059488, -46.8357332000818 -20.9256309284138, -46.8357425706525 -20.9256757794549, -46.8356992297436 -20.9258449674895, -46.8357697432798 -20.926149307956, -46.8357733241261 -20.9262592589413, -46.8355367175843 -20.9262660302388, -46.8349510605487 -20.9276500867851, -46.8342368274843 -20.929343218631, -46.8335905018046 -20.9306699026503, -46.8330517674948 -20.9317535091621, -46.8325170835294 -20.9327794721486, -46.8324446167841 -20.932915670963, -46.8315399193984 -20.9345978689695, -46.8299784128244 -20.936679208609, -46.8293942816765 -20.937835505732, -46.8293544510858 -20.9378862786552, -46.8263663310429 -20.9409436164562, -46.8243018797673 -20.9414240630841, -46.824188907464 -20.9413134335492, -46.8237136418296 -20.94134774253, -46.8222340478362 -20.9415133026592, -46.8221416235565 -20.9414782228212, -46.8221464072951 -20.9413106675991, -46.8204248173441 -20.9414579348002, -46.819695664264 -20.9415201418046, -46.8173413606938 -20.9417626700589, -46.8157929931242 -20.9421218145408, -46.8147843256995 -20.9424006138407, -46.8127777653628 -20.9429662046693, -46.8103349422788 -20.943657275753, -46.8103385300255 -20.9428664566677, -46.8104829649915 -20.9419368040798, -46.8106470163431 -20.9410752239121, -46.8106648106779 -20.9404699697909, -46.8106397289716 -20.9403207545683, -46.8104600418608 -20.9397983097715, -46.8098157950016 -20.9384247045822, -46.8097224426031 -20.9381950052687, -46.8094588211914 -20.9376455078718, -46.8086955392539 -20.936054481281, -46.808250903168 -20.9349914002176, -46.8077168451969 -20.9340254985776, -46.8068630606283 -20.932307798499, -46.8060651201406 -20.9315188245268, -46.805352596249 -20.9307454569333, -46.8053126164122 -20.9306870995017, -46.8051255821857 -20.930264766684, -46.8040950039615 -20.9274994241658, -46.8010423690957 -20.9194571519091, -46.8080072108961 -20.9159611124809)))
